"","CC2.c3.consensusClass","sample"
"P319T1_PRE1","1","P319T1_PRE1"
"P319T1_PRE2","1","P319T1_PRE2"
"P319T1_PRE3","1","P319T1_PRE3"
"P710T1_PRE1","1","P710T1_PRE1"
"P710T1_PRE2","2","P710T1_PRE2"
"P710T1_PRE3","2","P710T1_PRE3"
"P203T1_PRE1","1","P203T1_PRE1"
"P203T1_PRE2","1","P203T1_PRE2"
"P203T1_PRE3","1","P203T1_PRE3"
"P616T1_PRE1","3","P616T1_PRE1"
"P616T1_PRE2","3","P616T1_PRE2"
"P616T1_PRE3","3","P616T1_PRE3"
"P109T1_PRE1","3","P109T1_PRE1"
"P109T1_PRE2","3","P109T1_PRE2"
"P109T1_PRE3","3","P109T1_PRE3"
"P411T1_PRE1","3","P411T1_PRE1"
"P411T1_PRE2","3","P411T1_PRE2"
"P411T1_PRE3","3","P411T1_PRE3"
"P125T2_PRE1","2","P125T2_PRE1"
"P125T2_PRE2","2","P125T2_PRE2"
"P125T2_PRE3","2","P125T2_PRE3"
"P119T1_PRE1","2","P119T1_PRE1"
"P119T1_PRE2","2","P119T1_PRE2"
"P119T1_PRE3","2","P119T1_PRE3"
"P225T1_PRE1","2","P225T1_PRE1"
"P225T1_PRE2","2","P225T1_PRE2"
"P225T1_PRE3","2","P225T1_PRE3"
"PancT6_PRE1","2","PancT6_PRE1"
"PancT6_PRE2","2","PancT6_PRE2"
"PancT6_PRE3","2","PancT6_PRE3"
"P319T1_PRE4","1","P319T1_PRE4"
"P319T1_PRE5","1","P319T1_PRE5"
"P319T1_PRE6","1","P319T1_PRE6"
"P508T1_PRE1","3","P508T1_PRE1"
"P508T1_PRE2","3","P508T1_PRE2"
"P508T1_PRE3","3","P508T1_PRE3"
"P125T2_PRE4","2","P125T2_PRE4"
"P125T2_PRE5","2","P125T2_PRE5"
"P125T2_PRE6","2","P125T2_PRE6"
"P710T1_PRE4","2","P710T1_PRE4"
"P710T1_PRE5","2","P710T1_PRE5"
"P710T1_PRE6","2","P710T1_PRE6"
"P902T1B_PRE1","3","P902T1B_PRE1"
"P902T1B_PRE2","3","P902T1B_PRE2"
"P902T1B_PRE3","3","P902T1B_PRE3"
"P225T1_PRE4","2","P225T1_PRE4"
"P225T1_PRE5","2","P225T1_PRE5"
"P109T1_PRE4","3","P109T1_PRE4"
"P109T1_PRE5","3","P109T1_PRE5"
"P109T1_PRE6","3","P109T1_PRE6"
"P411T1_PRE4","3","P411T1_PRE4"
"P411T1_PRE5","3","P411T1_PRE5"
"P411T1_PRE6","3","P411T1_PRE6"
"PancT6_PRE4","2","PancT6_PRE4"
"PancT6_PRE5","2","PancT6_PRE5"
"PancT6_PRE6","2","PancT6_PRE6"
"P806T1_PRE1","1","P806T1_PRE1"
"P806T1_PRE2","1","P806T1_PRE2"
"P806T1_PRE3","3","P806T1_PRE3"
"P203T1_PRE4","1","P203T1_PRE4"
"P203T1_PRE5","1","P203T1_PRE5"
"P203T1_PRE6","1","P203T1_PRE6"
"P616T1_PRE4","3","P616T1_PRE4"
"P616T1_PRE5","3","P616T1_PRE5"
"P616T1_PRE6","3","P616T1_PRE6"
"P616T1_PRE7","3","P616T1_PRE7"
"P616T1_PRE8","3","P616T1_PRE8"
"P616T1_PRE9","3","P616T1_PRE9"
"PancT6_PRE7","2","PancT6_PRE7"
"PancT6_PRE8","2","PancT6_PRE8"
"PancT6_PRE9","2","PancT6_PRE9"
"PancT6_PRE10","2","PancT6_PRE10"
"PancT6_PRE11","2","PancT6_PRE11"
"PancT6_PRE12","2","PancT6_PRE12"
"P119T1_PRE4","2","P119T1_PRE4"
"P119T1_PRE5","2","P119T1_PRE5"
"P119T1_PRE6","2","P119T1_PRE6"
"P119T1_PRE7","2","P119T1_PRE7"
"P119T1_PRE8","2","P119T1_PRE8"
"P119T1_PRE9","2","P119T1_PRE9"
"P411T1_PRE7","3","P411T1_PRE7"
"P411T1_PRE8","3","P411T1_PRE8"
"P411T1_PRE9","3","P411T1_PRE9"
"P411T1_PRE10","3","P411T1_PRE10"
"P411T1_PRE11","3","P411T1_PRE11"
"P411T1_PRE12","3","P411T1_PRE12"
"P411T1_PRE13","3","P411T1_PRE13"
"P411T1_PRE14","3","P411T1_PRE14"
"P710T1_PRE7","2","P710T1_PRE7"
"P710T1_PRE8","2","P710T1_PRE8"
"P710T1_PRE9","1","P710T1_PRE9"
"P319T1_PRE7","1","P319T1_PRE7"
"P319T1_PRE8","1","P319T1_PRE8"
"P319T1_PRE9","1","P319T1_PRE9"
"P119T1_PRE10","2","P119T1_PRE10"
"P119T1_PRE11","2","P119T1_PRE11"
"P119T1_PRE12","2","P119T1_PRE12"
"P713T1_PRE1","1","P713T1_PRE1"
"P713T1_PRE2","1","P713T1_PRE2"
"P713T1_PRE3","2","P713T1_PRE3"
"P713T1_PRE4","1","P713T1_PRE4"
